pocket_id,receptor_id,ligand_id,mechanistic_class,classification_basis,classification_confidence,A1_ppi_interface,A2_druggability,A3_perturbation_relevance,A4_state_robustness,relationship_class,hotspot_overlap_count,hotspot_overlap_fraction,overall_druggability_tier,ligand_support_strength,state_class,n_states_matched,pose_support_count
3GT8_raw_PKT01,3GT8_raw,173940,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2798,0.1568,0.6297,0.65,rim_candidate,1,0.067,tier_3,strong,state_robust_pocket,3,10
EGFR_170-200_PKT06,EGFR_170-200,173940,interface_rim_modulator_candidate,rim_relationship; overlap=2; ligand_support=strong,medium,0.3102,0.1526,0.6444,0.65,rim_candidate,2,0.143,tier_3,strong,state_shifted_pocket,3,10
EGFR_170-200_PKT10,EGFR_170-200,173940,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2814,0.1418,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,state_shifted_pocket,3,10
EGFR_170-200_PKT12,EGFR_170-200,173940,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2814,0.1391,0.6197,0.65,rim_candidate,1,0.071,tier_3,strong,state_shifted_pocket,3,9
EGFR_170-200_PKT13,EGFR_170-200,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1391,0.475,0.5667,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,2,5
EGFR_170-200_PKT15,EGFR_170-200,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1343,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_170-200_PKT17,EGFR_170-200,173940,interface_rim_modulator_candidate,rim_relationship; overlap=3; ligand_support=strong,medium,0.3386,0.1328,0.6591,0.65,rim_candidate,3,0.214,tier_3,strong,state_shifted_pocket,3,10
EGFR_170-200_PKT25,EGFR_170-200,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1163,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_170-200_PKT26,EGFR_170-200,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1163,0.395,0.5667,allosteric_candidate,0,0.000,tier_3,moderate,state_shifted_pocket,2,5
EGFR_170-200_PKT28,EGFR_170-200,173940,interface_rim_modulator_candidate,rim_relationship; overlap=2; ligand_support=moderate,medium,0.3102,0.1145,0.5644,0.65,rim_candidate,2,0.143,tier_3,moderate,state_shifted_pocket,3,10
EGFR_170-200_PKT31,EGFR_170-200,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1004,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_170-200_PKT33,EGFR_170-200,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.0896,0.475,0.5667,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,2,5
EGFR_170-200_PKT34,EGFR_170-200,173940,allosteric_modulator_candidate,allosteric_relationship; tier=tier_1; ligand_support=strong,medium,0.253,0.6448,0.525,0.65,allosteric_candidate,0,0.000,tier_1,strong,state_shifted_pocket,3,60
EGFR_170-200_PKT36,EGFR_170-200,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.044,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_170-200_PKT01,EGFR_170-200,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.2183,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_170-200_PKT04,EGFR_170-200,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1607,0.295,0.65,allosteric_candidate,0,0.000,tier_3,weak,state_shifted_pocket,3,1
EGFR_170-200_PKT05,EGFR_170-200,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1565,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_170-200_PKT06,EGFR_170-200,97806,interface_rim_modulator_candidate,rim_relationship; overlap=2; ligand_support=strong,medium,0.3102,0.1526,0.6444,0.65,rim_candidate,2,0.143,tier_3,strong,state_shifted_pocket,3,10
EGFR_170-200_PKT10,EGFR_170-200,97806,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2814,0.1418,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,state_shifted_pocket,3,10
EGFR_170-200_PKT12,EGFR_170-200,97806,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2814,0.1391,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,state_shifted_pocket,3,10
EGFR_170-200_PKT13,EGFR_170-200,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1391,0.475,0.5667,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,2,5
EGFR_170-200_PKT15,EGFR_170-200,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1343,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_170-200_PKT17,EGFR_170-200,97806,interface_rim_modulator_candidate,rim_relationship; overlap=3; ligand_support=moderate,medium,0.3386,0.1328,0.5791,0.65,rim_candidate,3,0.214,tier_3,moderate,state_shifted_pocket,3,10
EGFR_170-200_PKT25,EGFR_170-200,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1163,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_170-200_PKT26,EGFR_170-200,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1163,0.395,0.5667,allosteric_candidate,0,0.000,tier_3,moderate,state_shifted_pocket,2,5
EGFR_170-200_PKT28,EGFR_170-200,97806,interface_rim_modulator_candidate,rim_relationship; overlap=2; ligand_support=weak,medium,0.3102,0.1145,0.5044,0.65,rim_candidate,2,0.143,tier_3,weak,state_shifted_pocket,3,10
EGFR_170-200_PKT31,EGFR_170-200,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1004,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_170-200_PKT33,EGFR_170-200,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.0896,0.475,0.5667,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,2,5
EGFR_170-200_PKT34,EGFR_170-200,97806,allosteric_modulator_candidate,allosteric_relationship; tier=tier_1; ligand_support=strong,medium,0.253,0.6448,0.525,0.65,allosteric_candidate,0,0.000,tier_1,strong,state_shifted_pocket,3,59
EGFR_170-200_PKT36,EGFR_170-200,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.044,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_170-200_PKT01,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.2183,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_170-200_PKT04,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1607,0.305,0.65,allosteric_candidate,0,0.000,tier_3,weak,state_shifted_pocket,3,2
EGFR_170-200_PKT05,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1565,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_170-200_PKT06,EGFR_170-200,VAX-C12_0,interface_rim_modulator_candidate,rim_relationship; overlap=2; ligand_support=strong,medium,0.3102,0.1526,0.6444,0.65,rim_candidate,2,0.143,tier_3,strong,state_shifted_pocket,3,10
EGFR_170-200_PKT10,EGFR_170-200,VAX-C12_0,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2814,0.1418,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,state_shifted_pocket,3,10
EGFR_170-200_PKT12,EGFR_170-200,VAX-C12_0,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2814,0.1391,0.6197,0.65,rim_candidate,1,0.071,tier_3,strong,state_shifted_pocket,3,9
EGFR_170-200_PKT13,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1391,0.475,0.5667,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,2,5
EGFR_170-200_PKT15,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1343,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_170-200_PKT17,EGFR_170-200,VAX-C12_0,interface_rim_modulator_candidate,rim_relationship; overlap=3; ligand_support=strong,medium,0.3386,0.1328,0.6591,0.65,rim_candidate,3,0.214,tier_3,strong,state_shifted_pocket,3,10
EGFR_170-200_PKT25,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1163,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_170-200_PKT26,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1163,0.475,0.5667,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,2,5
EGFR_170-200_PKT28,EGFR_170-200,VAX-C12_0,interface_rim_modulator_candidate,rim_relationship; overlap=2; ligand_support=moderate,medium,0.3102,0.1145,0.5644,0.65,rim_candidate,2,0.143,tier_3,moderate,state_shifted_pocket,3,10
EGFR_170-200_PKT31,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1004,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_170-200_PKT33,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.0896,0.475,0.5667,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,2,5
EGFR_170-200_PKT34,EGFR_170-200,VAX-C12_0,allosteric_modulator_candidate,allosteric_relationship; tier=tier_1; ligand_support=strong,medium,0.253,0.6448,0.525,0.65,allosteric_candidate,0,0.000,tier_1,strong,state_shifted_pocket,3,60
EGFR_170-200_PKT36,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.044,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
3GT8_raw_PKT04,3GT8_raw,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1463,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,uncertain_alignment,2,0
3GT8_raw_PKT06,3GT8_raw,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1325,0.045,0.2833,low_relevance_candidate,0,0.000,tier_3,none,state_specific_pocket,1,0
3GT8_raw_PKT09,3GT8_raw,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1208,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,uncertain_alignment,2,0
3GT8_raw_PKT12,3GT8_raw,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1172,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,uncertain_alignment,2,0
3GT8_raw_PKT13,3GT8_raw,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1169,0.045,0.4,low_relevance_candidate,0,0.000,tier_3,none,state_robust_pocket,3,0
3GT8_raw_PKT15,3GT8_raw,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1151,0.045,0.2833,low_relevance_candidate,0,0.000,tier_3,none,state_specific_pocket,1,0
3GT8_raw_PKT17,3GT8_raw,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1085,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,uncertain_alignment,2,0
3GT8_raw_PKT18,3GT8_raw,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1064,0.045,0.4,low_relevance_candidate,0,0.000,tier_3,none,state_robust_pocket,3,0
3GT8_raw_PKT19,3GT8_raw,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1016,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,uncertain_alignment,2,0
3GT8_raw_PKT21,3GT8_raw,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.0929,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,uncertain_alignment,2,0
EGFR_160-185_PKT06,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1535,0.045,0.4,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,3,0
EGFR_160-185_PKT08,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.152,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,2,0
EGFR_160-185_PKT10,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1508,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,2,0
EGFR_160-185_PKT17,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1367,0.045,0.4,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,3,0
EGFR_160-185_PKT18,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1361,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,uncertain_alignment,2,0
EGFR_160-185_PKT20,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1334,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,2,0
EGFR_160-185_PKT21,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1331,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,2,0
EGFR_160-185_PKT22,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.131,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,2,0
EGFR_160-185_PKT24,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1283,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,2,0
EGFR_160-185_PKT25,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.128,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,2,0
EGFR_160-185_PKT26,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1226,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,2,0
EGFR_160-185_PKT28,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1193,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,uncertain_alignment,2,0
EGFR_160-185_PKT31,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1133,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,uncertain_alignment,2,0
EGFR_160-185_PKT32,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.113,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,2,0
EGFR_160-185_PKT33,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1118,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,2,0
EGFR_160-185_PKT35,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1058,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,2,0
EGFR_160-185_PKT36,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1058,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,uncertain_alignment,2,0
EGFR_160-185_PKT41,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.0929,0.045,0.2833,low_relevance_candidate,0,0.000,tier_3,none,state_specific_pocket,1,0
EGFR_160-185_PKT42,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.0884,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,2,0
EGFR_160-185_PKT44,EGFR_160-185,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.0848,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,2,0
EGFR_170-200_PKT02,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1721,0.045,0.2833,low_relevance_candidate,0,0.000,tier_3,none,state_specific_pocket,1,0
EGFR_170-200_PKT03,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1631,0.045,0.4,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,3,0
EGFR_170-200_PKT07,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1496,0.045,0.4,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,3,0
EGFR_170-200_PKT08,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1457,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,2,0
EGFR_170-200_PKT09,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1445,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,2,0
EGFR_170-200_PKT11,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1397,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,uncertain_alignment,2,0
EGFR_170-200_PKT14,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1367,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,2,0
EGFR_170-200_PKT16,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1331,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,2,0
EGFR_170-200_PKT18,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1295,0.045,0.4,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,3,0
EGFR_170-200_PKT19,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1262,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,uncertain_alignment,2,0
EGFR_170-200_PKT20,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1217,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,2,0
EGFR_170-200_PKT21,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1211,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,2,0
EGFR_170-200_PKT22,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1208,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,2,0
EGFR_170-200_PKT23,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1208,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,2,0
EGFR_170-200_PKT24,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1202,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,2,0
EGFR_170-200_PKT27,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1151,0.045,0.4,low_relevance_candidate,0,0.000,tier_3,none,state_robust_pocket,3,0
EGFR_170-200_PKT29,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1115,0.045,0.4,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,3,0
EGFR_170-200_PKT30,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.1022,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,2,0
EGFR_170-200_PKT32,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.0929,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,2,0
EGFR_170-200_PKT35,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.0563,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,state_shifted_pocket,2,0
EGFR_170-200_PKT37,EGFR_170-200,,ligandable_but_ppi_irrelevant_candidate,low_relevance_relationship; no_hotspot_overlap; tier=tier_3,high,0.253,0.0437,0.045,0.3167,low_relevance_candidate,0,0.000,tier_3,none,uncertain_alignment,2,0
